time_s,Vout_V,iL_A,duty,Rload_ohm
0.120050,5.096828,0.789446,0.38557,10.00
0.120060,5.107794,0.740135,0.38844,10.00
0.120070,5.116554,0.693898,0.39180,10.00
0.120080,5.123274,0.651243,0.39529,10.00
0.120090,5.128129,0.612353,0.39871,10.00
0.120100,5.131534,0.577226,0.40196,10.00
0.120110,5.134339,0.544760,0.40381,10.00
0.120120,5.135722,0.514738,0.40602,10.00
0.120130,5.135813,0.487515,0.40832,10.00
0.120140,5.134747,0.463196,0.41057,10.00
0.120150,5.132780,0.441745,0.41268,10.00
0.120160,5.130388,0.422540,0.41401,10.00
0.120170,5.127192,0.405402,0.41546,10.00
0.120180,5.123291,0.390436,0.41690,10.00
0.120190,5.118787,0.377619,0.41825,10.00
0.120200,5.113450,0.366862,0.41947,10.00
0.120210,5.106417,0.359439,0.42221,10.00
0.120220,5.099172,0.355270,0.42394,10.00
0.120230,5.091837,0.353424,0.42502,10.00
0.120240,5.084500,0.353301,0.42569,10.00
0.120250,5.077358,0.354500,0.42608,10.00
0.120260,5.070836,0.356189,0.42562,10.00
0.120270,5.064427,0.358136,0.42538,10.00
0.120280,5.058146,0.360489,0.42523,10.00
0.120290,5.052013,0.363296,0.42511,10.00
0.120300,5.046205,0.366552,0.42498,10.00
0.120310,5.041195,0.369550,0.42405,10.00
0.120320,5.036333,0.372211,0.42350,10.00
0.120330,5.031613,0.374850,0.42317,10.00
0.120340,5.027038,0.377625,0.42294,10.00
0.120350,5.022120,0.380605,0.42276,10.00
0.120360,5.015438,0.385910,0.42510,10.00
0.120370,5.009098,0.393626,0.42612,10.00
0.120380,5.003174,0.402558,0.42638,10.00
0.120390,4.997698,0.412000,0.42621,10.00
0.120400,4.992651,0.421533,0.42580,10.00
0.120410,4.987948,0.431030,0.42541,10.00
0.120420,4.983694,0.440352,0.42488,10.00
0.120430,4.979873,0.449351,0.42429,10.00
0.120440,4.976467,0.457945,0.42368,10.00
0.120450,4.973755,0.466090,0.42307,10.00
0.120460,4.972581,0.472485,0.42096,10.00
0.120470,4.971651,0.477067,0.41968,10.00
0.120480,4.970900,0.480547,0.41888,10.00
0.120490,4.970292,0.483345,0.41837,10.00
0.120500,4.969868,0.485704,0.41803,10.00
0.120510,4.969812,0.487477,0.41745,10.00
0.120520,4.969821,0.488734,0.41711,10.00
0.120530,4.969879,0.489686,0.41692,10.00
0.120540,4.969974,0.490457,0.41680,10.00
0.120550,4.969993,0.491116,0.41674,10.00
0.120560,4.969623,0.492160,0.41725,10.00
0.120570,4.969314,0.493634,0.41749,10.00
0.120580,4.969079,0.495296,0.41757,10.00
0.120590,4.968922,0.497007,0.41757,10.00
0.120600,4.968765,0.498687,0.41753,10.00
0.120610,4.968378,0.500626,0.41786,10.00
0.120620,4.968088,0.502815,0.41797,10.00
0.120630,4.967901,0.505057,0.41796,10.00
0.120640,4.967815,0.507243,0.41789,10.00
0.120650,4.967639,0.509312,0.41778,10.00
0.120660,4.966825,0.512029,0.41861,10.00
0.120670,4.966158,0.515417,0.41895,10.00
0.120680,4.965656,0.519031,0.41900,10.00
0.120690,4.965319,0.522620,0.41890,10.00
0.120700,4.965265,0.526043,0.41873,10.00
0.120710,4.965832,0.528713,0.41792,10.00
0.120720,4.966494,0.530572,0.41741,10.00
0.120730,4.967223,0.531896,0.41710,10.00
0.120740,4.967997,0.532852,0.41690,10.00
0.120750,4.968917,0.533544,0.41678,10.00
0.120760,4.970298,0.533556,0.41613,10.00
0.120770,4.971654,0.532910,0.41581,10.00
0.120780,4.972963,0.531900,0.41569,10.00
0.120790,4.974216,0.530703,0.41567,10.00
0.120800,4.975397,0.529420,0.41572,10.00
0.120810,4.976482,0.528149,0.41585,10.00
0.120820,4.977505,0.526927,0.41597,10.00
0.120830,4.978470,0.525754,0.41609,10.00
0.120840,4.979378,0.524633,0.41620,10.00
0.120850,4.980246,0.523563,0.41631,10.00
0.120860,4.981111,0.522492,0.41636,10.00
0.120870,4.981924,0.521415,0.41643,10.00
0.120880,4.982684,0.520363,0.41652,10.00
0.120890,4.983394,0.519351,0.41661,10.00
0.120900,4.984357,0.518389,0.41670,10.00
0.120910,4.986443,0.516202,0.41528,10.00
0.120920,4.988382,0.512732,0.41465,10.00
0.120930,4.990137,0.508690,0.41447,10.00
0.120940,4.991695,0.504482,0.41455,10.00
0.120950,4.992564,0.500341,0.41476,10.00
0.120960,4.991324,0.498490,0.41752,10.00
0.120970,4.990078,0.499094,0.41900,10.00
0.120980,4.988904,0.501015,0.41973,10.00
0.120990,4.987843,0.503591,0.42004,10.00
0.121000,4.987001,0.506437,0.42011,10.00
0.121010,4.986644,0.508950,0.41959,10.00
0.121020,4.986389,0.510987,0.41924,10.00
0.121030,4.986218,0.512693,0.41899,10.00
0.121040,4.986119,0.514156,0.41880,10.00
0.121050,4.986080,0.515430,0.41866,10.00
0.121060,4.986087,0.516558,0.41855,10.00
0.121070,4.986142,0.517561,0.41846,10.00
0.121080,4.986239,0.518453,0.41839,10.00
0.121090,4.986374,0.519243,0.41832,10.00
0.121100,4.986717,0.519940,0.41826,10.00
0.121110,4.987775,0.519801,0.41732,10.00
0.121120,4.988796,0.518796,0.41685,10.00
0.121130,4.989754,0.517350,0.41666,10.00
0.121140,4.990636,0.515708,0.41662,10.00
0.121150,4.991440,0.514011,0.41667,10.00
0.121160,4.992175,0.512328,0.41675,10.00
0.121170,4.992832,0.510704,0.41686,10.00
0.121180,4.993414,0.509167,0.41698,10.00
0.121190,4.993927,0.507733,0.41711,10.00
0.121200,4.994123,0.506408,0.41723,10.00
0.121210,4.993273,0.506270,0.41863,10.00
0.121220,4.992458,0.507367,0.41935,10.00
0.121230,4.991715,0.509095,0.41968,10.00
0.121240,4.991062,0.511106,0.41978,10.00
0.121250,4.990676,0.513197,0.41976,10.00
0.121260,4.991046,0.514533,0.41882,10.00
0.121270,4.991450,0.515018,0.41830,10.00
0.121280,4.991860,0.515019,0.41802,10.00
0.121290,4.992261,0.514754,0.41788,10.00
0.121300,4.992761,0.514349,0.41782,10.00
0.121310,4.993694,0.513378,0.41722,10.00
0.121320,4.994564,0.511861,0.41696,10.00
0.121330,4.995353,0.510100,0.41689,10.00
0.121340,4.996056,0.508269,0.41692,10.00
0.121350,4.996645,0.506466,0.41701,10.00
0.121360,4.997042,0.504865,0.41727,10.00
0.121370,4.997371,0.503500,0.41747,10.00
0.121380,4.997641,0.502315,0.41763,10.00
0.121390,4.997861,0.501278,0.41775,10.00
0.121400,4.997883,0.500365,0.41786,10.00
0.121410,4.997266,0.500215,0.41873,10.00
0.121420,4.996668,0.500846,0.41919,10.00
0.121430,4.996113,0.501886,0.41939,10.00
0.121440,4.995614,0.503115,0.41946,10.00
0.121450,4.995171,0.504410,0.41946,10.00
0.121460,4.994773,0.505713,0.41943,10.00
0.121470,4.994436,0.506987,0.41936,10.00
0.121480,4.994156,0.508200,0.41929,10.00
0.121490,4.993930,0.509336,0.41920,10.00
0.121500,4.993686,0.510388,0.41912,10.00
0.121510,4.993224,0.511643,0.41939,10.00
0.121520,4.992827,0.513117,0.41948,10.00
0.121530,4.992500,0.514651,0.41947,10.00
0.121540,4.992244,0.516155,0.41941,10.00
0.121550,4.992410,0.517581,0.41932,10.00
0.121560,4.994019,0.517395,0.41743,10.00
0.121570,4.995562,0.515515,0.41648,10.00
0.121580,4.996987,0.512778,0.41608,10.00
0.121590,4.998270,0.509668,0.41598,10.00
0.121600,4.999194,0.506464,0.41605,10.00
0.121610,4.999156,0.504213,0.41726,10.00
0.121620,4.999047,0.503042,0.41797,10.00
0.121630,4.998904,0.502502,0.41837,10.00
0.121640,4.998747,0.502328,0.41860,10.00
0.121650,4.998656,0.502364,0.41872,10.00
0.121660,4.998830,0.502236,0.41845,10.00
0.121670,4.998989,0.501875,0.41832,10.00
0.121680,4.999128,0.501408,0.41827,10.00
0.121690,4.999244,0.500905,0.41827,10.00
0.121700,4.999304,0.500407,0.41829,10.00
0.121710,4.999208,0.500079,0.41849,10.00
0.121720,4.999104,0.499940,0.41861,10.00
0.121730,4.998998,0.499914,0.41867,10.00
0.121740,4.998892,0.499956,0.41871,10.00
0.121750,4.998833,0.500039,0.41873,10.00
0.121760,4.998944,0.499965,0.41852,10.00
0.121770,4.999047,0.499717,0.41842,10.00
0.121780,4.999135,0.499389,0.41839,10.00
0.121790,4.999206,0.499034,0.41838,10.00
0.121800,4.999114,0.498682,0.41839,10.00
0.121810,4.998433,0.498978,0.41916,10.00
0.121820,4.997788,0.499959,0.41954,10.00
0.121830,4.997200,0.501280,0.41970,10.00
0.121840,4.996680,0.502741,0.41973,10.00
0.121850,4.996391,0.504226,0.41969,10.00
0.121860,4.996799,0.504984,0.41880,10.00
0.121870,4.997217,0.504948,0.41832,10.00
0.121880,4.997618,0.504480,0.41808,10.00
0.121890,4.997990,0.503795,0.41798,10.00
0.121900,4.998365,0.503016,0.41795,10.00
0.121910,4.998856,0.502045,0.41777,10.00
0.121920,4.999296,0.500914,0.41772,10.00
0.121930,4.999681,0.499739,0.41774,10.00
0.121940,5.000012,0.498585,0.41779,10.00
0.121950,5.000316,0.497487,0.41787,10.00
0.121960,5.000670,0.496353,0.41782,10.00
0.121970,5.000971,0.495187,0.41784,10.00
0.121980,5.001218,0.494052,0.41790,10.00
0.121990,5.001414,0.492981,0.41797,10.00
0.122000,5.001516,0.491992,0.41805,10.00
0.122010,5.001392,0.491291,0.41837,10.00
0.122020,5.001246,0.490889,0.41856,10.00
0.122030,5.001087,0.490673,0.41867,10.00
0.122040,5.000923,0.490575,0.41874,10.00
0.122050,5.000748,0.490553,0.41878,10.00
0.122060,5.000537,0.490625,0.41885,10.00
0.122070,5.000332,0.490774,0.41889,10.00
0.122080,5.000136,0.490969,0.41890,10.00
0.122090,4.999951,0.491190,0.41890,10.00
0.122100,4.999678,0.491424,0.41890,10.00
0.122110,4.999030,0.492086,0.41939,10.00
0.122120,4.998428,0.493191,0.41961,10.00
0.122130,4.997885,0.494501,0.41969,10.00
0.122140,4.997407,0.495878,0.41968,10.00
0.122150,4.996984,0.497245,0.41962,10.00
0.122160,4.996592,0.498593,0.41958,10.00
0.122170,4.996262,0.499902,0.41951,10.00
0.122180,4.995990,0.501139,0.41943,10.00
0.122190,4.995774,0.502290,0.41934,10.00
0.122200,4.995746,0.503349,0.41925,10.00
0.122210,4.996303,0.503724,0.41847,10.00
0.122220,4.996854,0.503391,0.41806,10.00
0.122230,4.997376,0.502681,0.41786,10.00
0.122240,4.997858,0.501785,0.41779,10.00
