time_s,Vout_V,iL_A,duty,Rload_ohm
0.017490,4.996558,0.502369,0.41844,10.00
0.017500,4.996602,0.502330,0.41845,10.00
0.017510,4.996094,0.502885,0.41917,10.00
0.017520,4.995632,0.504058,0.41952,10.00
0.017530,4.995234,0.505514,0.41964,10.00
0.017540,4.994907,0.507062,0.41965,10.00
0.017550,4.994687,0.508593,0.41960,10.00
0.017560,4.994676,0.509894,0.41933,10.00
0.017570,4.994716,0.510930,0.41914,10.00
0.017580,4.994797,0.511770,0.41901,10.00
0.017590,4.994912,0.512460,0.41891,10.00
0.017600,4.995165,0.513030,0.41883,10.00
0.017610,4.995871,0.513028,0.41821,10.00
0.017620,4.996556,0.512448,0.41789,10.00
0.017630,4.997203,0.511562,0.41775,10.00
0.017640,4.997803,0.510528,0.41771,10.00
0.017650,4.998240,0.509442,0.41773,10.00
0.017660,4.998195,0.508826,0.41834,10.00
0.017670,4.998138,0.508735,0.41867,10.00
0.017680,4.998085,0.508922,0.41884,10.00
0.017690,4.998045,0.509247,0.41892,10.00
0.017700,4.998279,0.509627,0.41895,10.00
0.017710,4.999535,0.508918,0.41765,10.00
0.017720,5.000719,0.507044,0.41701,10.00
0.017730,5.001795,0.504602,0.41676,10.00
0.017740,5.002749,0.501937,0.41672,10.00
0.017750,5.003325,0.499246,0.41681,10.00
0.017760,5.002801,0.497707,0.41822,10.00
0.017770,5.002248,0.497429,0.41899,10.00
0.017780,5.001704,0.497850,0.41940,10.00
0.017790,5.001193,0.498638,0.41959,10.00
0.017800,5.000834,0.499603,0.41965,10.00
0.017810,5.000944,0.500171,0.41910,10.00
0.017820,5.001066,0.500257,0.41880,10.00
0.017830,5.001183,0.500083,0.41864,10.00
0.017840,5.001288,0.499776,0.41857,10.00
0.017850,5.001433,0.499411,0.41855,10.00
0.017860,5.001778,0.498791,0.41827,10.00
0.017870,5.002087,0.497930,0.41815,10.00
0.017880,5.002352,0.496972,0.41812,10.00
0.017890,5.002571,0.496002,0.41814,10.00
0.017900,5.002752,0.495063,0.41819,10.00
0.017910,5.002912,0.494160,0.41823,10.00
0.017920,5.003031,0.493302,0.41828,10.00
0.017930,5.003112,0.492506,0.41834,10.00
0.017940,5.003159,0.491781,0.41840,10.00
0.017950,5.003003,0.491129,0.41846,10.00
0.017960,5.002153,0.491277,0.41938,10.00
0.017970,5.001338,0.492258,0.41984,10.00
0.017980,5.000583,0.493662,0.42004,10.00
0.017990,4.999902,0.495252,0.42009,10.00
0.018000,4.999487,0.496890,0.42005,10.00
0.018010,4.999887,0.497690,0.41901,10.00
0.018020,5.000295,0.497573,0.41845,10.00
0.018030,5.000682,0.496964,0.41818,10.00
0.018040,5.001032,0.496113,0.41806,10.00
0.018050,5.001210,0.495162,0.41803,10.00
0.018060,5.000844,0.494740,0.41870,10.00
0.018070,5.000479,0.494917,0.41906,10.00
0.018080,5.000132,0.495416,0.41923,10.00
0.018090,4.999815,0.496074,0.41930,10.00
0.018100,4.999220,0.496796,0.41931,10.00
0.018110,4.997449,0.498853,0.42086,10.00
0.018120,4.995821,0.502275,0.42157,10.00
0.018130,4.994373,0.506312,0.42179,10.00
0.018140,4.993122,0.510530,0.42176,10.00
0.018150,4.992212,0.514685,0.42157,10.00
0.018160,4.992059,0.518024,0.42059,10.00
0.018170,4.992031,0.520447,0.41996,10.00
0.018180,4.992096,0.522268,0.41954,10.00
0.018190,4.992232,0.523677,0.41926,10.00
0.018200,4.992630,0.524791,0.41906,10.00
0.018210,4.993879,0.524797,0.41787,10.00
0.018220,4.995090,0.523703,0.41726,10.00
0.018230,4.996229,0.522030,0.41699,10.00
0.018240,4.997279,0.520085,0.41692,10.00
0.018250,4.998109,0.518045,0.41696,10.00
0.018260,4.998362,0.516538,0.41767,10.00
0.018270,4.998562,0.515647,0.41810,10.00
0.018280,4.998732,0.515110,0.41834,10.00
0.018290,4.998883,0.514776,0.41848,10.00
0.018300,4.998957,0.514556,0.41857,10.00
0.018310,4.998773,0.514670,0.41894,10.00
0.018320,4.998604,0.515103,0.41913,10.00
0.018330,4.998461,0.515686,0.41920,10.00
0.018340,4.998346,0.516322,0.41922,10.00
0.018350,4.998531,0.516958,0.41920,10.00
0.018360,4.999796,0.516414,0.41780,10.00
0.018370,5.000993,0.514620,0.41711,10.00
0.018380,5.002084,0.512209,0.41683,10.00
0.018390,5.003054,0.509547,0.41678,10.00
0.018400,5.003779,0.506843,0.41685,10.00
0.018410,5.003923,0.504714,0.41759,10.00
0.018420,5.003989,0.503247,0.41804,10.00
0.018430,5.004001,0.502196,0.41832,10.00
0.018440,5.003972,0.501416,0.41851,10.00
0.018450,5.003929,0.500819,0.41863,10.00
0.018460,5.003924,0.500283,0.41864,10.00
0.018470,5.003895,0.499772,0.41866,10.00
0.018480,5.003845,0.499303,0.41869,10.00
0.018490,5.003774,0.498882,0.41873,10.00
0.018500,5.003487,0.498512,0.41876,10.00
0.018510,5.002407,0.499043,0.41980,10.00
0.018520,5.001384,0.500512,0.42031,10.00
0.018530,5.000446,0.502444,0.42051,10.00
0.018540,4.999606,0.504563,0.42054,10.00
0.018550,4.999122,0.506712,0.42047,10.00
0.018560,4.999730,0.507716,0.41907,10.00
0.018570,5.000345,0.507475,0.41832,10.00
0.018580,5.000926,0.506569,0.41795,10.00
0.018590,5.001453,0.505335,0.41779,10.00
0.018600,5.001944,0.503968,0.41776,10.00
0.018610,5.002469,0.502470,0.41767,10.00
0.018620,5.002921,0.500900,0.41768,10.00
0.018630,5.003300,0.499350,0.41775,10.00
0.018640,5.003610,0.497874,0.41784,10.00
0.018650,5.003960,0.496497,0.41794,10.00
0.018660,5.004666,0.494775,0.41751,10.00
0.018670,5.005280,0.492692,0.41735,10.00
0.018680,5.005793,0.490500,0.41736,10.00
0.018690,5.006205,0.488339,0.41744,10.00
0.018700,5.006219,0.486288,0.41757,10.00
0.018710,5.004974,0.485664,0.41923,10.00
0.018720,5.003751,0.486544,0.42010,10.00
0.018730,5.002598,0.488223,0.42050,10.00
0.018740,5.001537,0.490289,0.42065,10.00
0.018750,5.000825,0.492504,0.42064,10.00
